Playlist,Song,SongID,Artist,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Biden,Don't You Worry 'Bout A Thing,1QvWxgZvTU0w8rlPRE5Zrv,Stevie Wonder,0.0316,0.714,284.84,0.726,0,11,0.066,-9.218,1,0.0408,124.71,4,0.92
Biden,Reach Out I'll Be There,6Pkj4nv5K53i64cLVgkVyY,Four Tops,0.0253,0.607,178.533,0.599,0,3,0.188,-8.908,0,0.0282,119.842,4,0.735
Biden,Jet - Remastered 2010,4D40ZlFAWsvX7lua1Kablh,Wings,0.0179,0.504,248.36,0.739,0.08,9,0.0949,-7.265,1,0.0316,128.918,4,0.417
Biden,Don't Wanna Fight,6q0lIjDSuZDhrg9GC9yUQO,Alabama Shakes,0.259,0.606,232.547,0.915,0.107,10,0.105,-3.292,0,0.166,100.433,4,0.551
Biden,I Won't Back Down,7gSQv1OHpkIoAdUiRLdmI6,Tom Petty,0.0504,0.765,178.36,0.476,2.76e-06,7,0.165,-13.487,1,0.0329,114.02,4,0.965
Biden,Bulletproof,6lUY6MoqGgPnA27PHYxem5,La Roux,0.000441,0.674,205.733,0.882,6.47e-05,3,0.068,-2.771,0,0.0477,123.016,4,0.682
Biden,What Is Life - Remastered 2014,76TpWFiK5YCgw1hy26DWZp,George Harrison,0.00654,0.468,264.413,0.833,0.000332,4,0.326,-5.847,1,0.0324,131.248,4,0.884
Biden,"Hold On, I'm Comin'",6PgVDY8GTkxF3GmhVGPzoB,Sam & Dave,0.196,0.803,155.707,0.338,0.038,6,0.097,-14.029,1,0.0349,106.841,4,0.912
Biden,Midnight Train to Georgia,7MF7QAodbGzNYav5ZfIhAY,Gladys Knight & The Pips,0.271,0.595,279.333,0.379,2.81e-05,10,0.1,-12.058,0,0.0454,92.006,4,0.448
Biden,A Change Is Gonna Come,0KOE1hat4SIer491XKk4Pa,Sam Cooke,0.723,0.212,191.16,0.383,0,10,0.299,-10.071,1,0.0347,173.79,3,0.452
Biden,This Is America,0b9oOr2ZgvyQu88wzixux9,Childish Gambino,0.117,0.854,225.773,0.463,0,5,0.354,-6.159,1,0.137,120.024,4,0.549
Biden,Alright,3iVcZ5G6tvkXZkZKlMpIUs,Kendrick Lamar,0.0742,0.796,219.333,0.766,0,7,0.0827,-5.974,1,0.238,110.034,4,0.558
Biden,My Shot,4cxvludVmQxryrnx1m9FqL,Lin-Manuel Miranda,0.15,0.698,333.154,0.649,0,8,0.0903,-6.764,1,0.415,180.466,4,0.568
Biden,For What It's Worth,2ZBwoldduPeQoXBWePnrYV,Billy Porter,0.0368,0.655,190.113,0.634,0,11,0.0945,-6.942,0,0.049,96.007,4,0.77
Biden,Sweeter (feat. Terrace Martin),1ehhGlTvjtHo2e4xJFB0SZ,Leon Bridges,0.0167,0.719,167.468,0.385,0.0313,8,0.111,-10.907,1,0.0403,128.0,4,0.27
Biden,Back In My Body,0DlMSBJh9uo52DieTYVXLw,Maggie Rogers,0.343,0.442,249.541,0.753,4.94e-06,4,0.135,-6.073,1,0.0622,163.951,4,0.276
Biden,Stand by Me,0DQd0tWurMHUAv0cMnDELH,Prince Royce,0.143,0.737,205.267,0.82,9.16e-05,9,0.129,-2.085,1,0.0291,127.998,4,0.914
Biden,Never Break,5wWMdkPkZbtUgrkaDINRrt,John Legend,0.762,0.447,253.24,0.453,0,4,0.093,-7.54,1,0.0375,124.599,3,0.325
